# Elements 1e+06
[00001.942 ms] [1.644725] sumSeq
[00000.321 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 2048]
[00000.324 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 4096]
[00000.324 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 8192]
[00000.321 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 16384]
[00000.250 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 32768]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 65536]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 64]
[00000.162 ms] [1.644740] sumOpenmp [16 threads; schedule guided 128]
[00000.162 ms] [1.644740] sumOpenmp [16 threads; schedule guided 256]
[00000.161 ms] [1.644740] sumOpenmp [16 threads; schedule guided 512]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 1024]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 2048]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 4096]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 8192]
[00000.163 ms] [1.644740] sumOpenmp [16 threads; schedule guided 16384]
[00000.161 ms] [1.644740] sumOpenmp [16 threads; schedule guided 32768]
[00000.155 ms] [1.644740] sumOpenmp [16 threads; schedule guided 65536]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 64]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 128]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 256]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 512]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule auto 1024]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 2048]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 4096]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 8192]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 16384]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 32768]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 65536]
[00000.278 ms] [1.644756] sumOpenmp [32 threads; schedule static 64]
[00000.299 ms] [1.644756] sumOpenmp [32 threads; schedule static 128]
[00000.194 ms] [1.644756] sumOpenmp [32 threads; schedule static 256]
[00000.204 ms] [1.644756] sumOpenmp [32 threads; schedule static 512]
[00000.188 ms] [1.644756] sumOpenmp [32 threads; schedule static 1024]
[00000.175 ms] [1.644756] sumOpenmp [32 threads; schedule static 2048]
[00000.175 ms] [1.644756] sumOpenmp [32 threads; schedule static 4096]
[00000.181 ms] [1.644756] sumOpenmp [32 threads; schedule static 8192]
[00000.185 ms] [1.644756] sumOpenmp [32 threads; schedule static 16384]
[00000.181 ms] [1.644756] sumOpenmp [32 threads; schedule static 32768]
[00000.181 ms] [1.644756] sumOpenmp [32 threads; schedule static 65536]
[00000.193 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 64]
[00000.189 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 128]
[00000.180 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 256]
[00000.084 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 512]
[00000.073 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 1024]
[00000.074 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 2048]
[00000.075 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 4096]
[00000.073 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 8192]
[00000.080 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 16384]
[00000.074 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 32768]
[00000.074 ms] [1.644756] sumOpenmp [32 threads; schedule dynamic 65536]
[00000.078 ms] [1.644756] sumOpenmp [32 threads; schedule guided 64]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule guided 128]
[00000.074 ms] [1.644756] sumOpenmp [32 threads; schedule guided 256]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule guided 512]
[00000.072 ms] [1.644756] sumOpenmp [32 threads; schedule guided 1024]
[00000.072 ms] [1.644756] sumOpenmp [32 threads; schedule guided 2048]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule guided 4096]
[00000.073 ms] [1.644756] sumOpenmp [32 threads; schedule guided 8192]
[00000.078 ms] [1.644756] sumOpenmp [32 threads; schedule guided 16384]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule guided 32768]
[00000.073 ms] [1.644756] sumOpenmp [32 threads; schedule guided 65536]
[00000.070 ms] [1.644756] sumOpenmp [32 threads; schedule auto 64]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule auto 128]
[00000.076 ms] [1.644756] sumOpenmp [32 threads; schedule auto 256]
[00000.072 ms] [1.644756] sumOpenmp [32 threads; schedule auto 512]
[00000.077 ms] [1.644756] sumOpenmp [32 threads; schedule auto 1024]
[00000.071 ms] [1.644756] sumOpenmp [32 threads; schedule auto 2048]
[00000.072 ms] [1.644756] sumOpenmp [32 threads; schedule auto 4096]
[00000.075 ms] [1.644756] sumOpenmp [32 threads; schedule auto 8192]
[00000.072 ms] [1.644756] sumOpenmp [32 threads; schedule auto 16384]
[00000.069 ms] [1.644756] sumOpenmp [32 threads; schedule auto 32768]
[00000.069 ms] [1.644756] sumOpenmp [32 threads; schedule auto 65536]
[00027.766 ms] [1.644772] sumOpenmp [48 threads; schedule static 64]
[00025.197 ms] [1.644772] sumOpenmp [48 threads; schedule static 128]
[00025.590 ms] [1.644772] sumOpenmp [48 threads; schedule static 256]
[00025.606 ms] [1.644772] sumOpenmp [48 threads; schedule static 512]
[00027.961 ms] [1.644772] sumOpenmp [48 threads; schedule static 1024]
[00025.792 ms] [1.644772] sumOpenmp [48 threads; schedule static 2048]
[00024.992 ms] [1.644772] sumOpenmp [48 threads; schedule static 4096]
[00025.794 ms] [1.644772] sumOpenmp [48 threads; schedule static 8192]
[00025.592 ms] [1.644772] sumOpenmp [48 threads; schedule static 16384]
[00024.393 ms] [1.644772] sumOpenmp [48 threads; schedule static 32768]
[00025.393 ms] [1.644772] sumOpenmp [48 threads; schedule static 65536]
[00025.393 ms] [1.644772] sumOpenmp [48 threads; schedule dynamic 64]
[00025.993 ms] [1.644772] sumOpenmp [48 threads; schedule dynamic 128]
[00025.994 ms] [1.644772] sumOpenmp [48 threads; schedule dynamic 256]
